0.969	6.327900069565655e-16	4.178707065923217e-15
0.9957097	5.655898867075845e-17	7.373007814967281e-17
1.0224194	5.0709186095355234e-17	2.3675820335480336e-17
1.0491291	5.359864787330952e-17	1.7564016663145558e-17
1.0758388	9.133569665717023e-17	2.885155148935726e-17
1.1025485000000002	8.288583433874383e-17	2.581927942292167e-17
1.1292582	1.0177391035234708e-16	3.372103146089581e-17
1.1559679	1.1491614372783972e-16	3.4649680426047747e-17
1.1826776	1.0249236174669702e-16	2.572062028013828e-17
1.2093873000000002	1.065685869620335e-16	2.3536858749701294e-17
1.236097	1.0044221729652968e-16	1.9920438729844373e-17
1.2628067	1.1244894272694325e-16	2.0914216125871793e-17
1.2895164	1.5515116279059955e-16	2.5596087403674566e-17
1.3162261000000002	1.5772983311433345e-16	2.1833933920544778e-17
1.3429358	1.609053961329963e-16	2.871110662985842e-17
1.3696455	6.597325202721734e-17	2.0347218006648378e-17
1.3963552	9.268063155060073e-17	6.014494968484768e-17
1.4230649000000002	9.614646643952774e-17	5.147767939967136e-17
1.4497746	7.426030720313044e-17	2.972946362194232e-17
1.4764843	7.919334546217629e-17	2.1546552947386976e-17
1.503194	7.759226911229574e-17	1.390806277808471e-17
1.5299037000000002	7.95672832689272e-17	1.1904991269960786e-17
1.5566134	8.422489918015128e-17	1.1003509143099116e-17
1.5833231	9.970639222128207e-17	1.2055480263735664e-17
1.6100328	1.0971242860543863e-16	1.470657203561831e-17
1.6367425	1.185634345206954e-16	1.717175874465095e-17
1.6634522	1.1948370318496267e-16	1.9056258419621473e-17
1.6901619	1.3529886824049642e-16	2.2433957283817274e-17
1.7168716	1.3985868424558252e-16	2.553558397553242e-17
1.7435813	1.295473583614207e-16	2.614427276251711e-17
1.770291	1.1533785303473351e-16	3.3180773562370377e-17
1.7970007000000001	1.810912903675732e-16	1.7437888980797835e-16
